time_unix,monotonic,time_unix,uptime_s,cpu_load_pct,mem_used_pct,tasks_running,pixhawk_connected,vesc_connected,power_connected,photodiode_connected,pps_synced,pps_rms_us
1778207886.961,2249.633,1778207886.9471657,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1778207887.211,2249.884,1778207887.1978672,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207887.462,2250.134,1778207887.4485593,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207887.713,2250.385,1778207887.6992357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207887.964,2250.636,1778207887.9501045,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207888.214,2250.887,1778207888.2009804,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207888.465,2251.137,1778207888.4516819,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207888.716,2251.388,1778207888.7023437,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207888.967,2251.639,1778207888.9531662,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207889.217,2251.889,1778207889.2039473,4.0438430479998715,10.791015625,6.107567594340402,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207889.468,2252.140,1778207889.4546592,4.0438430479998715,10.791015625,6.107567594340402,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207889.719,2252.391,1778207889.705564,4.0438430479998715,10.791015625,6.107567594340402,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207889.969,2252.641,1778207889.9562948,4.0438430479998715,10.791015625,6.107567594340402,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207890.220,2252.892,1778207890.20696,4.0438430479998715,10.791015625,6.107567594340402,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207890.471,2253.143,1778207890.4576533,4.0438430479998715,10.791015625,6.107567594340402,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207890.721,2253.394,1778207890.7083638,4.0438430479998715,10.791015625,6.107567594340402,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207890.972,2253.644,1778207890.9590168,4.0438430479998715,10.791015625,6.107567594340402,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207891.223,2253.895,1778207891.2096424,6.067610421999689,9.912109375,6.110669457008933,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207891.474,2254.146,1778207891.460355,6.067610421999689,9.912109375,6.110669457008933,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207891.724,2254.397,1778207891.7110338,6.067610421999689,9.912109375,6.110669457008933,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207891.975,2254.647,1778207891.9617677,6.067610421999689,9.912109375,6.110669457008933,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207892.226,2254.898,1778207892.2124984,6.067610421999689,9.912109375,6.110669457008933,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207892.476,2255.149,1778207892.4632301,6.067610421999689,9.912109375,6.110669457008933,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207892.727,2255.399,1778207892.713891,6.067610421999689,9.912109375,6.110669457008933,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207892.978,2255.650,1778207892.964518,6.067610421999689,9.912109375,6.110669457008933,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207893.228,2255.901,1778207893.2152185,8.091212612999698,9.912109375,6.110569396922849,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207893.479,2256.151,1778207893.4659975,8.091212612999698,9.912109375,6.110569396922849,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207893.730,2256.402,1778207893.7168977,8.091212612999698,9.912109375,6.110569396922849,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207893.980,2256.653,1778207893.9675627,8.091212612999698,9.912109375,6.110569396922849,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207894.231,2256.903,1778207894.2182398,8.091212612999698,9.912109375,6.110569396922849,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207894.482,2257.154,1778207894.4688685,8.091212612999698,9.912109375,6.110569396922849,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207894.732,2257.405,1778207894.7196226,8.091212612999698,9.912109375,6.110569396922849,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207894.983,2257.655,1778207894.9702826,8.091212612999698,9.912109375,6.110569396922849,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207895.234,2257.906,1778207895.2209883,10.112859520999791,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207895.485,2258.157,1778207895.4716992,10.112859520999791,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207895.736,2258.408,1778207895.7223997,10.112859520999791,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207895.986,2258.658,1778207895.9730473,10.112859520999791,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207896.237,2258.909,1778207896.2236948,10.112859520999791,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207896.488,2259.160,1778207896.47435,10.112859520999791,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207896.738,2259.411,1778207896.7250547,10.112859520999791,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207896.989,2259.661,1778207896.9759026,10.112859520999791,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207897.240,2259.912,1778207897.2267437,12.13587553699972,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207897.441,2260.113,1778207897.4272864,12.13587553699972,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207897.692,2260.364,1778207897.6779969,12.13587553699972,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207897.943,2260.615,1778207897.9286814,12.13587553699972,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207898.193,2260.866,1778207898.179376,12.13587553699972,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207898.444,2261.116,1778207898.4300745,12.13587553699972,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207898.695,2261.367,1778207898.68078,12.13587553699972,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207898.946,2261.618,1778207898.9324005,12.13587553699972,9.08203125,6.110919607224141,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207899.196,2261.868,1778207899.183268,14.159208139999919,9.08203125,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207899.447,2262.119,1778207899.4342592,14.159208139999919,9.08203125,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207899.698,2262.370,1778207899.6851063,14.159208139999919,9.08203125,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207899.949,2262.621,1778207899.9362457,14.159208139999919,9.08203125,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207900.201,2262.873,1778207900.1870522,14.159208139999919,9.08203125,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207900.452,2263.124,1778207900.437757,14.159208139999919,9.08203125,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207900.703,2263.375,1778207900.6884599,14.159208139999919,9.08203125,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207900.954,2263.626,1778207900.939151,14.159208139999919,9.08203125,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207901.205,2263.877,1778207901.189885,16.18269796300001,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207901.456,2264.128,1778207901.4405906,16.18269796300001,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207901.706,2264.378,1778207901.691302,16.18269796300001,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207901.957,2264.629,1778207901.942288,16.18269796300001,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207902.208,2264.880,1778207902.1933851,16.18269796300001,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207902.458,2265.131,1778207902.4441218,16.18269796300001,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207902.709,2265.381,1778207902.6948538,16.18269796300001,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207902.960,2265.632,1778207902.9455874,16.18269796300001,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207903.212,2265.885,1778207903.1963212,18.205068284999925,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207903.463,2266.136,1778207903.4470482,18.205068284999925,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207903.714,2266.386,1778207903.697823,18.205068284999925,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207903.965,2266.637,1778207903.9489362,18.205068284999925,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207904.216,2266.888,1778207904.2005672,18.205068284999925,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207904.466,2267.139,1778207904.4512694,18.205068284999925,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207904.718,2267.390,1778207904.7020483,18.205068284999925,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207904.969,2267.641,1778207904.9527683,18.205068284999925,8.349609375,6.110769517095016,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207905.220,2267.892,1778207905.2034113,20.228804603999833,7.666015625,6.113471139419224,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207905.471,2268.143,1778207905.4553792,20.228804603999833,7.666015625,6.113471139419224,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207905.721,2268.394,1778207905.7061758,20.228804603999833,7.666015625,6.113471139419224,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207905.973,2268.645,1778207905.9570262,20.228804603999833,7.666015625,6.113471139419224,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207906.223,2268.896,1778207906.2080095,20.228804603999833,7.666015625,6.113471139419224,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207906.474,2269.146,1778207906.4587188,20.228804603999833,7.666015625,6.113471139419224,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207906.725,2269.397,1778207906.7093804,20.228804603999833,7.666015625,6.113471139419224,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207906.976,2269.648,1778207906.9603,20.228804603999833,7.666015625,6.113471139419224,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207907.227,2269.899,1778207907.2109475,22.25212417099965,7.666015625,6.113321049290099,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778207907.478,2270.150,1778207907.4615934,22.25212417099965,7.666015625,6.113321049290099,12.0,1.0,1.0,0.0,0.0,0.0,0.0
