time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778259559.945,1508.901,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778259560.446,1509.402,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259560.948,1509.904,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259561.450,1510.406,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259561.951,1510.907,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259562.452,1511.408,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259562.954,1511.910,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259563.405,1512.361,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259563.907,1512.863,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259564.408,1513.364,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259564.910,1513.866,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259565.412,1514.368,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259565.914,1514.870,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259566.416,1515.372,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259566.917,1515.873,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259567.419,1516.375,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259567.920,1516.876,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259568.422,1517.378,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259568.924,1517.880,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259569.425,1518.381,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259569.927,1518.883,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259570.429,1519.385,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259570.931,1519.887,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259571.432,1520.388,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259571.934,1520.890,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259572.436,1521.392,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259572.938,1521.894,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259573.439,1522.395,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259573.941,1522.896,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259574.442,1523.398,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259574.944,1523.900,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259575.446,1524.402,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259575.947,1524.903,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259576.449,1525.405,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259576.951,1525.907,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259577.452,1526.408,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259577.953,1526.909,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259578.455,1527.411,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259578.906,1527.862,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259579.408,1528.364,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259579.910,1528.866,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259580.411,1529.367,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259580.913,1529.869,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259581.415,1530.371,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259581.917,1530.873,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259582.418,1531.374,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259582.920,1531.876,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259583.421,1532.377,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259583.923,1532.879,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259584.425,1533.381,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259584.926,1533.882,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259585.428,1534.384,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259585.929,1534.885,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259586.431,1535.387,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259586.932,1535.888,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259587.434,1536.390,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259587.935,1536.891,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259588.437,1537.393,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259588.939,1537.895,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259589.440,1538.396,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778259589.941,1538.897,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259590.443,1539.399,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259590.944,1539.900,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259591.446,1540.402,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259591.947,1540.903,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259592.449,1541.405,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
1778259592.950,1541.906,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0
