time_unix,monotonic,data_rate,tx_power,channel
1778609554.225,392.037,2,2,0
1778609559.239,397.052,2,2,0
1778609564.254,402.066,2,2,0
1778609569.219,407.031,2,2,0
1778609574.234,412.046,2,2,0
1778609579.248,417.061,2,2,0
1778609584.264,422.076,2,2,0
1778609589.228,427.041,2,2,0
1778609594.243,432.055,2,2,0
1778609599.258,437.070,2,2,0
1778609604.222,442.035,2,2,0
1778609609.237,447.049,2,2,0
1778609614.252,452.065,2,2,0
1778609619.267,457.079,2,2,0
1778609624.231,462.044,2,2,0
1778609629.246,467.058,2,2,0
1778609634.260,472.073,2,2,0
1778609639.225,477.037,2,2,0
1778609644.242,482.054,2,2,0
1778609649.258,487.070,2,2,0
1778609654.223,492.036,2,2,0
1778609659.238,497.051,2,2,0
1778609664.253,502.066,2,2,0
1778609669.218,507.031,2,2,0
1778609674.234,512.047,2,2,0
