time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778621609.251,11906.260,0.0,0.0,0.0,0.0
1778621609.753,11906.762,0.0,0.0,0.0,0.0
1778621610.254,11907.263,0.0,0.0,0.0,0.0
1778621610.756,11907.765,0.0,0.0,0.0,0.0
1778621611.257,11908.266,0.0,0.0,0.0,0.0
1778621611.759,11908.768,0.0,0.0,0.0,0.0
1778621612.260,11909.269,0.0,0.0,0.0,0.0
1778621612.762,11909.771,0.0,0.0,0.0,0.0
1778621613.263,11910.272,0.0,0.0,0.0,0.0
1778621613.765,11910.774,0.0,0.0,0.0,0.0
1778621614.267,11911.276,0.0,0.0,0.0,0.0
1778621614.768,11911.777,0.0,0.0,0.0,0.0
1778621615.270,11912.279,0.0,0.0,0.0,0.0
1778621615.771,11912.780,0.0,0.0,0.0,0.0
1778621616.273,11913.282,0.0,0.0,0.0,0.0
1778621616.774,11913.783,0.0,0.0,0.0,0.0
1778621617.276,11914.285,0.0,0.0,0.0,0.0
1778621617.777,11914.786,0.0,0.0,0.0,0.0
1778621618.279,11915.288,0.0,0.0,0.0,0.0
1778621618.780,11915.789,0.0,0.0,0.0,0.0
1778621619.232,11916.241,0.0,0.0,0.0,0.0
1778621619.734,11916.743,0.0,0.0,0.0,0.0
1778621620.235,11917.244,0.0,0.0,0.0,0.0
1778621620.737,11917.746,0.0,0.0,0.0,0.0
1778621621.238,11918.247,0.0,0.0,0.0,0.0
1778621621.740,11918.749,0.0,0.0,0.0,0.0
1778621622.241,11919.250,0.0,0.0,0.0,0.0
1778621622.743,11919.752,0.0,0.0,0.0,0.0
1778621623.244,11920.253,0.0,0.0,0.0,0.0
1778621623.746,11920.755,0.0,0.0,0.0,0.0
1778621624.247,11921.256,0.0,0.0,0.0,0.0
1778621624.749,11921.758,0.0,0.0,0.0,0.0
1778621625.251,11922.260,0.0,0.0,0.0,0.0
1778621625.752,11922.761,0.0,0.0,0.0,0.0
1778621626.254,11923.263,0.0,0.0,0.0,0.0
1778621626.755,11923.764,0.0,0.0,0.0,0.0
1778621627.256,11924.266,0.0,0.0,0.0,0.0
1778621627.758,11924.767,0.0,0.0,0.0,0.0
1778621628.260,11925.269,0.0,0.0,0.0,0.0
1778621628.761,11925.770,0.0,0.0,0.0,0.0
1778621629.262,11926.272,0.0,0.0,0.0,0.0
1778621629.764,11926.773,0.0,0.0,0.0,0.0
1778621630.266,11927.275,0.0,0.0,0.0,0.0
1778621630.767,11927.776,0.0,0.0,0.0,0.0
1778621631.269,11928.278,0.0,0.0,0.0,0.0
1778621631.770,11928.779,0.0,0.0,0.0,0.0
